"idplot" "st0" "st1" "yr0" "yr1" "lat" "lon" "annual_pp" "annual_mean_temp" "moose" "deer"
"1" 7000400101 "M" "M" 1985 1970 -71.884781 45.014589 1187 3.365 2.41 3.94
"2" 7000400101 "M" "M" 1970 1978 -71.884781 45.014589 1165.5 3.085 2.41 3.94
"3" 7000400102 "M" "M" 1985 1970 -71.885401 45.013978 1186.5 3.365 2.41 3.94
"4" 7000400102 "M" "M" 1970 1978 -71.885401 45.013978 1165.5 3.085 2.41 3.94
"5" 7000400102 "M" "T" 1978 2008 -71.885401 45.013978 1297 3.615 2.41 3.94
"6" 7000400102 "T" "M" 2008 1997 -71.884717 45.014554 1365 3.755 2.41 3.94
"7" 7000400201 "M" "M" 1985 1970 -71.732661 45.033548 1203.5 3.11 2.41 3.94
"8" 7000400201 "M" "M" 1970 1978 -71.732661 45.033548 1168.5 2.865 2.41 3.94
"9" 7000400201 "M" "T" 1978 2008 -71.732661 45.033548 1308.5 3.37 2.41 3.94
"10" 7000400201 "T" "M" 2008 1997 -71.732475 45.033127 1377 3.5 2.41 3.94
"11" 7000400202 "T" "T" 1985 1997 -71.727339 45.032759 1264 2.93 2.41 3.94
"12" 7000400301 "M" "T" 1997 1985 -71.583271 45.050442 1169 3.35 2.41 3.94
"13" 7000400302 "R" "R" 1997 2008 -71.577561 45.051909 1289.5 3.99 2.41 3.94
"14" 7000400302 "R" "T" 2008 1985 -71.577209 45.051426 1259 4.09 2.41 3.94
"15" 7000400401 "M" "M" 1970 1985 -71.682041 45.049265 1228.5 2.925 2.41 3.94
"16" 7000400401 "M" "M" 1985 1978 -71.682041 45.049265 1227.5 2.555 2.41 3.94
"17" 7000400401 "M" "M" 1978 2008 -71.682041 45.049265 1329.5 3.185 2.41 3.94
"18" 7000400401 "M" "M" 2008 1997 -71.687419 45.048408 1398 3.3 2.41 3.94
"19" 7000400402 "M" "M" 1970 1985 -71.687184 45.048113 1249.5 2.785 2.41 3.94
"20" 7000400402 "M" "M" 1985 1978 -71.687184 45.048113 1249 2.415 2.41 3.94
"21" 7000400501 "T" "T" 1978 1985 -71.949243 45.049696 1166 3.425 2.41 3.94
"22" 7000400501 "T" "T" 1985 1997 -71.949243 45.049696 1227 3.575 2.41 3.94
"23" 7000400501 "T" "T" 1997 2008 -71.949243 45.049696 1328 4.16 2.41 3.94
