NO_ZONE	id_plot	densites_10ha
01	8609100802	0.37
01	7601200401	0.37
01	7601204101	0.37
01	8609102002	0.37
01	7501108501	0.37
01	9700702202	0.37
01	7501105802	0.37
01	7601200901	0.37
01	8909205302	0.37
01	8909205101	0.37
01	7601200202	0.37
01	8909207002	0.37
01	7601203101	0.37
01	8609102301	0.37
01	7601204702	0.37
01	7609801602	0.37
01	7601201001	0.37
01	7609801702	0.37
01	7601200701	0.37
01	7501109602	0.37
01	8909202501	0.37
01	8809414402	0.37
01	7601203302	0.37
01	7601204401	0.37
01	7501108901	0.37
01	8609101201	0.37
01	7601204501	0.37
01	7601100102	0.37
01	7609800902	0.37
01	9109611602	0.37
01	7601204402	0.37
01	7609800601	0.37
01	7609800602	0.37
01	8909207001	0.37
01	8909205501	0.37
01	9500702001	0.37
01	7609700602	0.37
01	7609700202	0.37
01	7601201701	0.37
01	7609801901	0.37
01	7501109801	0.37
01	7501106502	0.37
01	7506901002	0.37
01	7609801302	0.37
01	9509802201	0.37
01	119601002	0.37
01	7501108902	0.37
01	7506900701	0.37
01	8909202502	0.37
01	7609801402	0.37
01	8609101102	0.37
01	7601201201	0.37
01	7601203802	0.37
01	7601201502	0.37
01	7609802001	0.37
01	9509800101	0.37
01	8809411401	0.37
01	7609900202	0.37
01	9509801601	0.37
01	7609801002	0.37
01	7609700401	0.37
01	7601202202	0.37
01	8609101502	0.37
01	9700702401	0.37
01	9709600702	0.37
01	8609102202	0.37
01	7609801601	0.37
01	7601201802	0.37
01	8609100202	0.37
01	7501108301	0.37
01	9109611001	0.37
01	7601203401	0.37
01	7601201101	0.37
01	9700702402	0.37
01	7601203601	0.37
01	7601200601	0.37
01	119600802	0.37
01	7601200801	0.37
01	9700700202	0.37
01	7609800202	0.37
01	8909205902	0.37
01	8609102802	0.37
01	7601200402	0.37
01	9700702901	0.37
01	7601204801	0.37
01	7601204901	0.37
01	7601203502	0.37
01	7506900601	0.37
01	7601101202	0.37
01	9500701801	0.37
01	7506901102	0.37
01	7501109301	0.37
01	8609101801	0.37
01	7601204902	0.37
01	7601100702	0.37
01	7609801802	0.37
01	7601201601	0.37
01	9700800201	0.37
01	7609700201	0.37
01	7601202501	0.37
01	9509802501	0.37
01	7601200802	0.37
01	8609100502	0.37
01	9500700702	0.37
01	7609801902	0.37
01	7601200301	0.37
01	8609100101	0.37
01	8609101602	0.37
01	7601202001	0.37
01	8909205901	0.37
01	7601204802	0.37
01	7501108401	0.37
01	7601100801	0.37
01	9700700901	0.37
01	7601201401	0.37
01	7609800901	0.37
01	7501109302	0.37
01	7609900301	0.37
01	7501109502	0.37
01	7501110101	0.37
01	7609700802	0.37
01	7601100402	0.37
01	9700701001	0.37
01	8609102501	0.37
01	7506900801	0.37
01	119600101	0.37
01	8909207202	0.37
01	7601204701	0.37
01	9709600802	0.37
01	9700701602	0.37
01	7501107602	0.37
01	7601200502	0.37
01	8609100402	0.37
01	9509801701	0.37
01	8609101501	0.37
01	7501108802	0.37
01	9500700401	0.37
01	119601202	0.37
01	7609700502	0.37
01	9509802401	0.37
01	7501108602	0.37
01	8609100801	0.37
01	7609800402	0.37
01	8909203901	0.37
01	8609102102	0.37
01	9700701102	0.37
01	7506900401	0.37
01	7601200302	0.37
01	7501108402	0.37
01	8909203202	0.37
01	7501110102	0.37
