NO_ZONE	id_plot	densites_10ha
01	7609900301	7.9
01	8909206301	7.9
01	8609101801	7.9
01	8909207202	7.9
01	7609801901	7.9
01	7501110002	7.9
01	9509800801	7.9
01	7601203901	7.9
01	7601100402	7.9
01	7501108802	7.9
01	7601201001	7.9
01	7501110001	7.9
01	9700702901	7.9
01	7506900501	7.9
01	7506900702	7.9
01	8909205101	7.9
01	8609101201	7.9
01	9509801102	7.9
01	7601100102	7.9
01	119600802	7.9
01	7601201502	7.9
01	7601202302	7.9
01	7609801102	7.9
01	9109614301	7.9
01	7601202901	7.9
01	7501107302	7.9
01	7601202802	7.9
01	8909206101	7.9
01	7506901001	7.9
01	9509801702	7.9
01	9500700702	7.9
01	7601200301	7.9
01	7601204702	7.9
01	7609800801	7.9
01	7609801702	7.9
01	7601100502	7.9
01	7609800601	7.9
01	9109614302	7.9
01	8809414301	7.9
01	7609801802	7.9
01	7601204701	7.9
01	7609801501	7.9
01	7601101001	7.9
01	7609801202	7.9
01	8609100201	7.9
01	7601201101	7.9
01	9700700802	7.9
01	7601200101	7.9
01	9709600601	7.9
01	8609100301	7.9
01	7609800701	7.9
01	9700700401	7.9
01	7601203602	7.9
01	7501105801	7.9
01	7601101102	7.9
01	9209502902	7.9
01	9700700701	7.9
01	7506901002	7.9
01	9500701302	7.9
01	8909203901	7.9
01	7609700702	7.9
01	7601200501	7.9
01	8609101602	7.9
01	8609102201	7.9
01	8609102202	7.9
01	119600402	7.9
01	8809413802	7.9
01	7601203601	7.9
01	7609700501	7.9
01	7609800202	7.9
01	7601200701	7.9
01	7501110102	7.9
01	9500701602	7.9
01	7601203501	7.9
01	8809413402	7.9
01	7609700201	7.9
01	9109612502	7.9
01	9500702001	7.9
01	9709601001	7.9
01	8909207201	7.9
01	9109611602	7.9
01	7601100101	7.9
01	7601100902	7.9
01	7601203902	7.9
01	7501106502	7.9
01	7609800402	7.9
01	7609802001	7.9
01	7501108901	7.9
01	8909203001	7.9
01	7601203701	7.9
01	9700701201	7.9
01	7601204101	7.9
01	7609801401	7.9
01	7501108302	7.9
01	7609801801	7.9
01	7501109102	7.9
01	8609100501	7.9
01	7601202502	7.9
01	8909202502	7.9
01	7601200901	7.9
01	7601202601	7.9
01	7609800501	7.9
01	8609100602	7.9
01	8809414402	7.9
01	9709600902	7.9
01	7609900202	7.9
01	9500702201	7.9
01	7601100501	7.9
01	9009105102	7.9
01	8609100102	7.9
01	8609100101	7.9
01	7609800702	7.9
01	7601201902	7.9
01	7601204402	7.9
01	9500702101	7.9
01	9700700302	7.9
01	8609102101	7.9
01	7601204502	7.9
01	9109613301	7.9
01	9109611802	7.9
01	119601002	7.9
01	7609800102	7.9
01	7609700202	7.9
01	8909205202	7.9
01	9109613302	7.9
01	7601101202	7.9
01	7601201701	7.9
01	7609700701	7.9
01	9009105101	7.9
01	7601100602	7.9
01	7601203401	7.9
01	7501109202	7.9
01	7506900701	7.9
01	8909203702	7.9
01	7501109401	7.9
01	8809414501	7.9
01	8609102602	7.9
01	9109613202	7.9
01	7601201002	7.9
01	7601202101	7.9
